,REC_CREATOR,REC_CREATE_TIME,REC_REVISOR,REC_REVISE_TIME,ARCHIVE_FLAG,APP_SYS_DIV,WHOLE_BACKLOG_CODE,WHOLE_BACKLOG_NAME,PASS_SERIES_CODE,PASS_CODE,TOTAL_RACK_COUNT,IN_THICK,IN_WIDTH,OUT_THICK,OUT_WIDTH,USED_RACK_COUNT,RACK_CODE1,RACK_CODE2,RACK_CODE3,RACK_CODE4,RACK_CODE5,RACK_CODE6,RACK_CODE7,RACK_CODE8,RACK_CODE9,RACK_CODE10,RACK_CODE11,RACK_CODE12,RACK_CODE13,RACK_CODE14,RACK_CODE15,RACK_CODE16,RACK_CODE17,RACK_CODE18,RACK_CODE19,RACK_CODE20
1,,,,,,OPS_XINGCHENG,IA,一轧轧制,A01,118,2,*,*,140,140,2,A011,A012,,,,,,,,,,,,,,,,,,
2,,,,,,OPS_XINGCHENG,IA,一轧轧制,A02,119,2,*,*,200,200,2,A021,A022,,,,,,,,,,,,,,,,,,
3,,,,,,OPS_XINGCHENG,IA,一轧轧制,A03,120,2,*,*,150,150,2,A031,A032,,,,,,,,,,,,,,,,,,
4,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,102,17,*,*,124.5-130.5,0,8,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T130,K183,,,,,,,,,,,,
5,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,103,17,*,*,117.5-123.5,0,8,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,K181,,,,,,,,,,,,
6,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,104,17,*,*,113.5-117.4,0,8,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,,,,,,,,,,,
7,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,105,17,*,*,107.5-113.4,0,11,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T130,K183,,T011,K167,,,,,,,,,
8,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,106,17,*,*,96.5-106.4,0,11,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,K181,,T010,K153,,,,,,,,,
9,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,107,17,*,*,92.5-95.85,0,11,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K146,,,,,,,,,
10,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,108,17,*,*,88.9-92.4,0,11,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,,,,,,,,,
11,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,109,17,*,*,82.5-88.4,0,13,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,K181,,T010,K153,T008,K130,,,,,,,
12,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,110,17,*,*,77.6-82.4,0,13,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,K181,,T010,K153,T008,12,,,,,,,
13,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,111,17,*,*,74.5-77.5,0,13,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K118,,,,,,,
14,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,112,17,*,*,71.5-73.4,0,13,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K110,,,,,,,
15,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,113,17,*,*,67.5-70.4,0,15,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,K181,,T010,K153,T008,K130,T006,K111,,,,,
16,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,114,17,*,*,62.5-66.4,0,15,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K118,T014,K103,,,,,
17,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,115,17,*,*,57.5-62.4,0,15,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K110,T005,K095,,,,,
18,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,116,17,*,*,53.5-56.4,0,17,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K118,T014,K103,T004,K081,,,
19,,,,,,OPS_XINGCHENG,IA,一轧轧制,A111,117,17,*,*,49.6-53.4,0,17,B015-5,B014-5,B013-5,B012-1,B011-5,B010-5,T113,Y113,,T090,K139,T075,K110,T005,K095,T001,K072,,,
